ticker,setor,nome,preco_atual,p_l,p_vp,roe,dividend_yield,margem_liquida,divida_patrimonio,market_cap,p_l_vs_setor,roe_vs_setor,dividend_yield_vs_setor
INTB3.SA,Industrials,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,13.96,7.628415,1.3831367,18.590999999999998,8.79,13.099,26.334,4567866880.0,-10.218930452631579,14.880666629583331,2.0599999999999996
IRBR3.SA,Financial Services,IRB-Brasil Resseguros S.A.,59.32,20.17687,0.908701,4.567,2.66,4.8919999999999995,5.38,4814932992.0,5.465008042105266,-15.70110003,-2.824210526315789
ISAE4.SA,Utilities,ISA Energía Brasil S.A.,26.98,6.303738,0.8022122,13.186,9.74,26.392,78.848,19038543872.0,-15.690297211764708,-0.6755554777777775,4.0725
ITSA4.SA,Industrials,Itaúsa S.A.,13.99,8.635802,1.6716453,18.924999,0.69,214.289,12.322,156790833152.0,-9.21154345263158,15.214665629583333,-6.039999999999999
ITUB3.SA,Financial Services,Itaú Unibanco Holding S.A.,46.05,10.964286,2.3305833,21.476,0.47,32.584,,507557216256.0,-3.7475759578947354,1.2078999699999997,-5.0142105263157895
ITUB4.SA,Financial Services,Itaú Unibanco Holding S.A.,41.87,9.969048,2.1190343,21.476,2.11,32.584,,461485768704.0,-4.742813957894734,1.2078999699999997,-3.3742105263157893
JHSF3.SA,Real Estate,JHSF Participações S.A.,11.81,3.8096776,1.0428257,29.331000000000003,7.02,52.592000000000006,86.011,7766024192.0,-16.199278716666665,4.860692269230775,-6.555833333333334
KEPL3.SA,Industrials,Kepler Weber S.A.,6.5,8.125,1.4118158,18.312,8.3,9.712,42.798,1126174720.0,-9.72234545263158,14.601666629583335,1.5700000000000012
KLBN11.SA,Basic Materials,Klabin S.A.,18.28,27.65507,2.3712544,3.6510002,8.77,0.855,229.751,129898807296.0,2.48866258461538,-8.80462480625,1.4207692307692312
KLBN4.SA,Basic Materials,Klabin S.A.,3.58,119.333336,0.46439224,3.6510002,8.89,0.855,229.751,21912147968.0,94.16692858461539,-8.80462480625,1.5407692307692322
LAVV3.SA,Real Estate,Lavvi Empreendimentos Imobiliários S.A.,10.39,5.616216,1.4002696,23.990999,18.05,19.914,85.879,2027965440.0,-14.392740316666666,-0.47930873076922964,4.474166666666667
LEVE3.SA,Consumer Cyclical,MAHLE Metal Leve S.A.,32.85,6.3910503,4.6176553,81.636,8.61,13.004999999999999,170.212,4452456448.0,-6.473967195,71.71417386086956,-4.397368421052631
LIGT3.SA,Utilities,Light S.A.,3.45,2.3,0.1374283,32.412,,15.437999999999999,102.409,5556855296.0,-19.694035211764707,18.55044452222222,
LOGG3.SA,Real Estate,LOG Commercial Properties e Participações S.A.,25.08,5.873536,0.6230901,10.479999,25.56,136.743,64.106,2183194368.0,-14.135420316666666,-13.990308730769229,11.984166666666665
LREN3.SA,Consumer Cyclical,Lojas Renner S.A.,10.97,7.3133335,1.0171535,14.456000999999999,8.24,9.354,31.713,10398010368.0,-5.551683995,4.534174860869564,-4.76736842105263
LWSA3.SA,Technology,Locaweb Serviços de Internet S.A.,4.07,,0.93843675,-7.797,1.05,-13.288,3.154,2301262080.0,,-12.4055,-0.32000000000000006
MBRF3.SA,Consumer Defensive,MBRF Global Foods Company S.A.,16.81,60.035713,2.041535,0.906,33.5,0.22,539.118,23423367168.0,43.23986546363636,-10.827666633333333,26.552727272727275
MDIA3.SA,Consumer Defensive,M. Dias Branco S.A. Indústria e Comércio de Alimentos,16.62,8.656251,0.65722877,7.809000000000001,2.13,6.229,21.094,5577207296.0,-8.139596536363639,-3.9246666333333327,-4.817272727272727
MDNE3.SA,Real Estate,Moura Dubeux Engenharia S.A.,25.21,4.2584457,1.1387144,28.023002,18.97,21.434,47.778,2607076608.0,-15.750510616666666,3.5526942692307735,5.394166666666665
MGLU3.SA,Consumer Cyclical,Magazine Luiza S.A.,6.3,57.272728,0.43762156,0.796,0.42,0.23100001,76.228,4886801920.0,44.407710505,-9.125826139130435,-12.58736842105263
MILS3.SA,Industrials,"Mills Locação, Serviços e Logística S.A.",15.93,8.473405,1.9243779,26.255,7.52,23.526,98.586,3629375488.0,-9.37394045263158,22.544666629583332,0.79
MOTV3.SA,Industrials,Motiva Infraestrutura de Mobilidade S.A.,16.45,9.791667,1.8633893,21.971,4.77,19.27,244.76,33063503872.0,-8.055678452631579,18.260666629583334,-1.96
MOVI3.SA,Industrials,Movida Participações S.A.,8.92,7.3719006,0.9168465,13.204001000000002,10.56,2.8889999,642.732,3577243648.0,-10.475444852631579,9.493667629583335,3.830000000000001
MRVE3.SA,Real Estate,MRV Engenharia e Participações S.A.,5.22,,0.6417507,-10.0389995,,-4.926,168.529,2937995520.0,,-34.509307230769224,
MULT3.SA,Real Estate,Multiplan Empreendimentos Imobiliários S.A.,31.16,11.1285715,2.264864,21.898999999999997,3.63,43.416,75.295,15243528192.0,-8.880384816666666,-2.571307730769231,-9.945833333333333
MYPK3.SA,Consumer Cyclical,Iochpe-Maxion S.A.,9.28,15.213114,0.3393425,4.9039997,9.57,0.604,123.096,1389863424.0,2.348096504999999,-5.017826439130435,-3.4373684210526303
NATU3.SA,Consumer Defensive,Natura Cosméticos S.A.,7.2,,0.78619784,-2.478,,-12.47,53.698,9887995904.0,,-14.211666633333333,
ONCO3.SA,Healthcare,Oncoclínicas do Brasil Serviços Médicos S.A.,1.13,,75.333336,-273.51,,-84.76599999999999,3949.009,1272798976.0,,-251.504625125,
OPCT3.SA,Industrials,OceanPact Serviços Marítimos S.A.,8.52,10.142858,1.645423,17.19,1.09,6.987,191.674,4042794752.0,-7.704487452631579,13.479666629583335,-5.64
ORVR3.SA,Industrials,Orizon Valorização de Resíduos S.A.,16.65,97.94117,0.6375646,2.3599999,,3.3520000000000003,73.932,9145784320.0,80.09382454736843,-1.3503334704166665,
PASS3.SA,Utilities,Compass Gas e Energia S.A.,22.66,14.074534,2.6822917,17.363999999999997,5.45,7.587000000000001,224.035,15448839168.0,-7.9195012117647074,3.50244452222222,-0.21750000000000025
PCAR3.SA,Consumer Cyclical,Companhia Brasileira De Distribuicao,2.86,,3.4457831,-129.36399999999998,,-11.6459996,2084.841,1408684800.0,,-139.28582613913042,
PETR3.SA,Energy,Petróleo Brasileiro S.A. - Petrobras,54.12,5.3584156,1.4503161,30.274,7.94,24.317,76.067,697538183168.0,-30.624109133333334,18.98100013857143,2.208
PETR4.SA,Energy,Petróleo Brasileiro S.A. - Petrobras,49.26,4.8772273,1.3200771,30.274,8.74,24.317,76.067,673063305216.0,-31.105297433333334,18.98100013857143,3.008
PGMN3.SA,Healthcare,Empreendimentos Pague Menos S.A.,3.45,6.9,0.726928,10.585,13.53,2.1,101.786,2480083968.0,-7.387172142857143,32.590374874999995,8.402857142857142
PINE4.SA,Financial Services,Banco Pine S.A.,11.85,4.876543,1.6727837,40.772000000000006,9.1,39.51,,2989721344.0,-9.835318957894735,20.503899970000006,3.6157894736842104
PLPL3.SA,Real Estate,Plano & Plano Desenvolvimento Imobiliário S.A.,6.65,4.375,1.2075541,31.768,22.14,8.618,119.763,1350281088.0,-15.633956316666666,7.297692269230772,8.564166666666667
PNVL3.SA,Healthcare,Dimed S.A. Distribuidora de Medicamentos,12.43,13.659341,1.4097766,10.791001,3.64,2.3340001999999997,106.585,1856739200.0,-0.6278311428571435,32.796375874999995,-1.487142857142857
POMO3.SA,Industrials,Marcopolo S.A.,3.93,4.09375,1.1504685,28.32,27.26,13.189,80.724,4878679040.0,-13.75359545263158,24.609666629583334,20.53
POMO4.SA,Industrials,Marcopolo S.A.,4.14,4.3125,1.2119437,28.32,26.01,13.189,80.724,5139371520.0,-13.53484545263158,24.609666629583334,19.28
PRIO3.SA,Energy,Prio S.A.,60.71,12.700836,1.7174946,14.224999999999998,,18.111,90.248,48415526912.0,-23.281688733333333,2.9320001385714267,
PRNR3.SA,Industrials,Priner Serviços Industriais S.A.,18.9,26.249998,2.2524133,12.181000000000001,0.65,2.554,176.223,1077435264.0,8.402652547368422,8.470666629583334,-6.079999999999999
PSSA3.SA,Financial Services,Porto Seguro S.A.,47.04,8.281691,1.8697829,24.169001,4.33,8.126999999999999,6.366,30152280064.0,-6.430170957894735,3.900900970000002,-1.1542105263157891
RADL3.SA,Healthcare,Raia Drogasil S.A.,18.45,21.705883,4.4244604,19.993,2.26,2.8850000000000002,117.862,32260493312.0,7.418710857142857,41.998374874999996,-2.8671428571428574
RAIL3.SA,Industrials,Rumo S.A.,15.87,24.045454,2.0353982,8.81,0.68,8.526000400000001,201.104,29452535808.0,6.19810854736842,5.099666629583334,-6.05
RAPT4.SA,Industrials,Randoncorp S.A.,5.07,,0.58484256,-1.442,0.88,-2.6500002,211.467,1767847040.0,,-5.152333370416667,-5.85
RDOR3.SA,Healthcare,Rede D'Or São Luiz S.A.,37.65,17.113636,3.9589906,19.779,1.93,8.3450004,250.501,81799479296.0,2.8264638571428566,41.784374875,-3.1971428571428575
RECV3.SA,Energy,Petroreconcavo S.A.,10.76,6.3294115,0.7122526,11.251999999999999,6.25,16.733999999999998,72.213,3157867520.0,-29.653113233333336,-0.04099986142857226,0.5179999999999998
RENT3.SA,Industrials,Localiza Rent a Car S.A.,38.71,12.288888,1.5776818,13.011000000000001,5.84,7.3870000000000005,171.495,42759643136.0,-5.558457452631579,9.300666629583334,-0.8899999999999997
RIAA3.SA,Consumer Cyclical,Guararapes Confecções S.A.,6.78,2.2156863,0.62999445,28.023999999999997,48.6,14.353,67.989,3403987456.0,-10.649331195,18.102173860869563,35.59263157894737
SANB11.SA,Financial Services,Banco Santander (Brasil) S.A.,29.6,14.467254,0.8706907,11.151,7.26,28.664,,159055003648.0,-0.24460795789473444,-9.11710003,1.7757894736842106
SANB3.SA,Financial Services,Banco Santander (Brasil) S.A.,14.7,8.305085,0.43240383,11.151,5.7,28.664,,110066655232.0,-6.406776957894735,-9.11710003,0.21578947368421098
SANB4.SA,Financial Services,Banco Santander (Brasil) S.A.,14.58,8.237288,0.42887402,11.151,6.35,28.664,,109168148480.0,-6.474573957894735,-9.11710003,0.8657894736842104
